divisao_cnae;divisao_descricao;quantidade;tipo_empresa;percentual_no_tipo
66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;55;ME (Microempresa);0.22
80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;51;ME (Microempresa);0.2
61;TELECOMUNICAÇÕES;49;ME (Microempresa);0.19
38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";49;ME (Microempresa);0.19
22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;43;ME (Microempresa);0.17
16;FABRICAÇÃO DE PRODUTOS DE MADEIRA;42;ME (Microempresa);0.17
75;ATIVIDADES VETERINÁRIAS;40;ME (Microempresa);0.16
42;OBRAS DE INFRA-ESTRUTURA;37;ME (Microempresa);0.15
29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;31;ME (Microempresa);0.12
15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;26;ME (Microempresa);0.1
72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO;25;ME (Microempresa);0.1
03;PESCA E AQÜICULTURA;24;ME (Microempresa);0.09
20;FABRICAÇÃO DE PRODUTOS QUÍMICOS;24;ME (Microempresa);0.09
17;FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL;19;ME (Microempresa);0.07
02;PRODUÇÃO FLORESTAL;18;ME (Microempresa);0.07
64;ATIVIDADES DE SERVIÇOS FINANCEIROS;18;ME (Microempresa);0.07
78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA;14;ME (Microempresa);0.06
28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;14;ME (Microempresa);0.06
60;ATIVIDADES DE RÁDIO E DE TELEVISÃO;8;ME (Microempresa);0.03
